"","record_id","month","day","year","plot_id","species_id","sex","hindfoot_length","weight","genus","species","taxa","plot_type"
"22",30175,1,8,2000,2,"NL","M",34,265,"Neotoma","albigula","Rodent","Control"
"23",31633,12,22,2000,2,"NL","F",31,173,"Neotoma","albigula","Rodent","Control"
"24",32817,10,13,2001,2,"NL","F",29,72,"Neotoma","albigula","Rodent","Control"
"25",33586,3,13,2002,2,"NL","F",32,196,"Neotoma","albigula","Rodent","Control"
"26",35404,12,29,2002,2,"NL","F",30,NA,"Neotoma","albigula","Rodent","Control"
"27",268,10,16,1977,2,"DM","F",36,55,"Dipodomys","merriami","Rodent","Control"
"28",438,12,10,1977,2,"DM","M",36,47,"Dipodomys","merriami","Rodent","Control"
"29",523,1,8,1978,2,"DM","M",36,43,"Dipodomys","merriami","Rodent","Control"
"30",664,3,11,1978,2,"DM","M",35,43,"Dipodomys","merriami","Rodent","Control"
"31",914,5,19,1978,2,"DM","F",NA,41,"Dipodomys","merriami","Rodent","Control"
"32",1269,9,4,1978,2,"DM","F",38,41,"Dipodomys","merriami","Rodent","Control"
"33",1529,12,3,1978,2,"DM","M",38,38,"Dipodomys","merriami","Rodent","Control"
"34",1676,3,31,1979,2,"DM","M",36,54,"Dipodomys","merriami","Rodent","Control"
"35",2060,9,23,1979,2,"DM","F",35,46,"Dipodomys","merriami","Rodent","Control"
"36",2340,1,16,1980,2,"DM","F",34,42,"Dipodomys","merriami","Rodent","Control"
"37",2600,3,9,1980,2,"DM","F",NA,38,"Dipodomys","merriami","Rodent","Control"
"38",2692,3,9,1980,2,"DM","M",NA,45,"Dipodomys","merriami","Rodent","Control"
"39",2902,4,18,1980,2,"DM","M",NA,48,"Dipodomys","merriami","Rodent","Control"
"40",3182,7,22,1980,2,"DM","M",36,43,"Dipodomys","merriami","Rodent","Control"
"41",3550,12,15,1980,2,"DM","F",37,46,"Dipodomys","merriami","Rodent","Control"
"42",3790,1,12,1981,2,"DM","M",35,41,"Dipodomys","merriami","Rodent","Control"
"43",3960,3,9,1981,2,"DM","M",37,49,"Dipodomys","merriami","Rodent","Control"
"44",4268,4,6,1981,2,"DM","F",NA,50,"Dipodomys","merriami","Rodent","Control"
"45",4452,5,4,1981,2,"DM","M",36,48,"Dipodomys","merriami","Rodent","Control"
"46",5044,11,23,1981,2,"DM","F",36,36,"Dipodomys","merriami","Rodent","Control"
"47",6474,8,16,1982,2,"DM","M",36,40,"Dipodomys","merriami","Rodent","Control"
"48",6832,10,24,1982,2,"DM","M",37,40,"Dipodomys","merriami","Rodent","Control"
"49",7080,11,22,1982,2,"DM","F",33,37,"Dipodomys","merriami","Rodent","Control"
"50",7723,4,17,1983,2,"DM","F",37,39,"Dipodomys","merriami","Rodent","Control"
"51",8359,9,11,1983,2,"DM","F",35,42,"Dipodomys","merriami","Rodent","Control"
"52",8961,3,13,1984,2,"DM","F",35,38,"Dipodomys","merriami","Rodent","Control"
"53",9572,9,30,1984,2,"DM","F",35,34,"Dipodomys","merriami","Rodent","Control"
"54",9920,1,20,1985,2,"DM","F",36,36,"Dipodomys","merriami","Rodent","Control"
"55",10092,3,17,1985,2,"DM","F",35,38,"Dipodomys","merriami","Rodent","Control"
"56",10363,4,21,1985,2,"DM","F",37,43,"Dipodomys","merriami","Rodent","Control"
"57",10517,6,16,1985,2,"DM","F",32,15,"Dipodomys","merriami","Rodent","Control"
"58",10623,7,24,1985,2,"DM","F",35,33,"Dipodomys","merriami","Rodent","Control"
"59",10909,10,13,1985,2,"DM","F",37,48,"Dipodomys","merriami","Rodent","Control"
"60",11150,12,8,1985,2,"DM","M",37,47,"Dipodomys","merriami","Rodent","Control"
"61",11304,3,9,1986,2,"DM","M",36,48,"Dipodomys","merriami","Rodent","Control"
"62",11421,4,13,1986,2,"DM","M",38,44,"Dipodomys","merriami","Rodent","Control"
"63",11608,6,5,1986,2,"DM","F",37,53,"Dipodomys","merriami","Rodent","Control"
"64",11841,9,7,1986,2,"DM","M",36,46,"Dipodomys","merriami","Rodent","Control"
"65",12138,12,15,1986,2,"DM","F",35,39,"Dipodomys","merriami","Rodent","Control"
"66",12533,4,6,1987,2,"DM","M",36,46,"Dipodomys","merriami","Rodent","Control"
"67",13112,7,26,1987,2,"DM",NA,NA,NA,"Dipodomys","merriami","Rodent","Control"
"68",13822,11,22,1987,2,"DM","M",35,38,"Dipodomys","merriami","Rodent","Control"
"69",14134,2,22,1988,2,"DM","M",37,48,"Dipodomys","merriami","Rodent","Control"
"70",14697,7,15,1988,2,"DM","F",37,42,"Dipodomys","merriami","Rodent","Control"
"71",17298,3,30,1990,2,"DM","F",37,46,"Dipodomys","merriami","Rodent","Control"
"72",18201,1,11,1991,2,"DM","M",37,51,"Dipodomys","merriami","Rodent","Control"
"73",19866,4,4,1992,2,"DM","M",37,49,"Dipodomys","merriami","Rodent","Control"
"74",21325,2,1,1994,2,"DM","M",37,39,"Dipodomys","merriami","Rodent","Control"
"75",21560,5,18,1994,2,"DM","M",36,51,"Dipodomys","merriami","Rodent","Control"
"76",22044,2,4,1995,2,"DM","M",37,46,"Dipodomys","merriami","Rodent","Control"
"77",22550,8,26,1995,2,"DM","F",37,26,"Dipodomys","merriami","Rodent","Control"
"78",22997,12,2,1995,2,"DM","M",36,50,"Dipodomys","merriami","Rodent","Control"
"79",23136,12,21,1995,2,"DM","M",33,27,"Dipodomys","merriami","Rodent","Control"
"80",23243,1,27,1996,2,"DM","M",36,49,"Dipodomys","merriami","Rodent","Control"
"81",23498,3,23,1996,2,"DM","F",36,41,"Dipodomys","merriami","Rodent","Control"
"82",23703,4,14,1996,2,"DM","F",36,49,"Dipodomys","merriami","Rodent","Control"
"83",24027,6,13,1996,2,"DM","M",40,53,"Dipodomys","merriami","Rodent","Control"
"84",24443,9,21,1996,2,"DM","M",36,42,"Dipodomys","merriami","Rodent","Control"
"85",24822,12,18,1996,2,"DM","M",35,45,"Dipodomys","merriami","Rodent","Control"
"86",25183,3,15,1997,2,"DM","F",37,48,"Dipodomys","merriami","Rodent","Control"
"87",25720,5,10,1997,2,"DM","M",38,49,"Dipodomys","merriami","Rodent","Control"
"88",27293,12,28,1997,2,"DM","M",37,45,"Dipodomys","merriami","Rodent","Control"
"89",27704,3,29,1998,2,"DM","M",37,44,"Dipodomys","merriami","Rodent","Control"
"90",27896,5,28,1998,2,"DM","F",37,45,"Dipodomys","merriami","Rodent","Control"
"91",28550,9,20,1998,2,"DM","M",37,47,"Dipodomys","merriami","Rodent","Control"
"92",28926,12,22,1998,2,"DM","F",34,36,"Dipodomys","merriami","Rodent","Control"
"93",29577,5,15,1999,2,"DM","M",37,46,"Dipodomys","merriami","Rodent","Control"
"94",31858,3,24,2001,2,"DM","M",37,53,"Dipodomys","merriami","Rodent","Control"
"95",32601,9,22,2001,2,"DM","M",34,24,"Dipodomys","merriami","Rodent","Control"
"96",33035,11,17,2001,2,"DM","F",35,47,"Dipodomys","merriami","Rodent","Control"
"97",33581,3,13,2002,2,"DM","M",36,50,"Dipodomys","merriami","Rodent","Control"
"98",34987,11,9,2002,2,"DM","M",35,45,"Dipodomys","merriami","Rodent","Control"
"99",652,3,11,1978,2,"PF","M",14,8,"Perognathus","flavus","Rodent","Control"
"100",2900,4,18,1980,2,"PF","M",NA,6,"Perognathus","flavus","Rodent","Control"
"101",7,7,16,1977,2,"PE","F",NA,NA,"Peromyscus","eremicus","Rodent","Control"
"102",1301,9,4,1978,2,"PE","M",20,17,"Peromyscus","eremicus","Rodent","Control"
"103",5178,1,1,1982,2,"PE","F",20,25,"Peromyscus","eremicus","Rodent","Control"
"104",5487,2,24,1982,2,"PE","M",19,23,"Peromyscus","eremicus","Rodent","Control"
"105",7311,1,13,1983,2,"PE","M",20,21,"Peromyscus","eremicus","Rodent","Control"
"106",9999,2,17,1985,2,"PE","M",18,16,"Peromyscus","eremicus","Rodent","Control"
"107",12288,2,1,1987,2,"PE","F",21,22,"Peromyscus","eremicus","Rodent","Control"
"108",13332,8,26,1987,2,"PE","F",20,27,"Peromyscus","eremicus","Rodent","Control"
"109",13963,1,24,1988,2,"PE","M",19,22,"Peromyscus","eremicus","Rodent","Control"
"110",14624,6,12,1988,2,"PE","M",20,14,"Peromyscus","eremicus","Rodent","Control"
"111",15136,11,6,1988,2,"PE","F",21,24,"Peromyscus","eremicus","Rodent","Control"
"112",16709,11,5,1989,2,"PE","F",21,25,"Peromyscus","eremicus","Rodent","Control"
"113",19429,12,7,1991,2,"PE","F",19,20,"Peromyscus","eremicus","Rodent","Control"
"114",19818,3,7,1992,2,"PE","F",19,19,"Peromyscus","eremicus","Rodent","Control"
"115",23396,2,24,1996,2,"PE","F",20,24,"Peromyscus","eremicus","Rodent","Control"
"116",23729,4,14,1996,2,"PE","F",20,22,"Peromyscus","eremicus","Rodent","Control"
"117",25494,4,12,1997,2,"PE","F",20,23,"Peromyscus","eremicus","Rodent","Control"
"118",33228,12,15,2001,2,"PE","F",20,20,"Peromyscus","eremicus","Rodent","Control"
"119",35201,12,7,2002,2,"PE","F",21,28,"Peromyscus","eremicus","Rodent","Control"
"120",835,5,6,1978,2,"DS","M",53,149,"Dipodomys","spectabilis","Rodent","Control"
"121",1922,7,25,1979,2,"DS","F",50,80,"Dipodomys","spectabilis","Rodent","Control"
"122",3505,11,9,1980,2,"DS","F",50,131,"Dipodomys","spectabilis","Rodent","Control"
"123",3977,3,9,1981,2,"DS","M",48,75,"Dipodomys","spectabilis","Rodent","Control"
"124",4233,4,6,1981,2,"DS","M",NA,81,"Dipodomys","spectabilis","Rodent","Control"
"125",4648,7,8,1981,2,"DS","F",53,144,"Dipodomys","spectabilis","Rodent","Control"
"126",5282,1,25,1982,2,"DS","M",52,82,"Dipodomys","spectabilis","Rodent","Control"
"127",5767,4,29,1982,2,"DS","F",52,149,"Dipodomys","spectabilis","Rodent","Control"
"128",6788,10,24,1982,2,"DS","F",50,150,"Dipodomys","spectabilis","Rodent","Control"
"129",7260,1,13,1983,2,"DS","M",51,148,"Dipodomys","spectabilis","Rodent","Control"
"130",8241,8,16,1983,2,"DS","M",50,130,"Dipodomys","spectabilis","Rodent","Control"
"131",8627,11,13,1983,2,"DS","F",52,132,"Dipodomys","spectabilis","Rodent","Control"
"132",11858,9,7,1986,2,"DS","M",52,128,"Dipodomys","spectabilis","Rodent","Control"
"133",12790,5,28,1987,2,"DS","M",49,139,"Dipodomys","spectabilis","Rodent","Control"
"134",26792,9,27,1997,2,"DS","F",49,113,"Dipodomys","spectabilis","Rodent","Control"
"135",28552,9,20,1998,2,"DS","F",51,120,"Dipodomys","spectabilis","Rodent","Control"
"136",29436,4,17,1999,2,"DS","F",51,131,"Dipodomys","spectabilis","Rodent","Control"
"137",8405,9,11,1983,2,"PP","F",22,18,"Chaetodipus","penicillatus","Rodent","Control"
"138",18848,7,12,1991,2,"PP","F",23,15,"Chaetodipus","penicillatus","Rodent","Control"
"139",20243,8,29,1992,2,"PP","M",20,19,"Chaetodipus","penicillatus","Rodent","Control"
"140",22441,7,20,1995,2,"PP","F",19,17,"Chaetodipus","penicillatus","Rodent","Control"
"141",22669,9,23,1995,2,"PP","F",20,17,"Chaetodipus","penicillatus","Rodent","Control"
"142",22831,10,28,1995,2,"PP","F",22,14,"Chaetodipus","penicillatus","Rodent","Control"
"143",23501,3,23,1996,2,"PP","F",23,18,"Chaetodipus","penicillatus","Rodent","Control"
"144",24185,7,20,1996,2,"PP","F",22,17,"Chaetodipus","penicillatus","Rodent","Control"
"145",25474,4,12,1997,2,"PP","M",23,22,"Chaetodipus","penicillatus","Rodent","Control"
"146",25779,5,10,1997,2,"PP","F",21,18,"Chaetodipus","penicillatus","Rodent","Control"
"147",26627,7,29,1997,2,"PP","M",23,20,"Chaetodipus","penicillatus","Rodent","Control"
"148",28030,6,27,1998,2,"PP","F",23,20,"Chaetodipus","penicillatus","Rodent","Control"
"149",28553,9,20,1998,2,"PP","M",20,12,"Chaetodipus","penicillatus","Rodent","Control"
"150",29862,10,9,1999,2,"PP","M",22,19,"Chaetodipus","penicillatus","Rodent","Control"
"151",30301,2,5,2000,2,"PP","M",22,18,"Chaetodipus","penicillatus","Rodent","Control"
"152",30608,4,30,2000,2,"PP","M",22,22,"Chaetodipus","penicillatus","Rodent","Control"
"153",31108,7,22,2000,2,"PP","M",23,15,"Chaetodipus","penicillatus","Rodent","Control"
"154",31389,9,30,2000,2,"PP","M",22,17,"Chaetodipus","penicillatus","Rodent","Control"
"155",32381,8,25,2001,2,"PP","M",22,NA,"Chaetodipus","penicillatus","Rodent","Control"
"156",32824,10,13,2001,2,"PP","M",23,19,"Chaetodipus","penicillatus","Rodent","Control"
"157",33845,4,17,2002,2,"PP","M",23,22,"Chaetodipus","penicillatus","Rodent","Control"
"158",34425,7,13,2002,2,"PP","F",20,12,"Chaetodipus","penicillatus","Rodent","Control"
"159",34781,10,5,2002,2,"PP","F",22,NA,"Chaetodipus","penicillatus","Rodent","Control"
"160",16699,11,5,1989,2,"SH","M",27,42,"Sigmodon","hispidus","Rodent","Control"
"161",32816,10,13,2001,2,"SH","F",28,101,"Sigmodon","hispidus","Rodent","Control"
"162",452,12,10,1977,2,"OT",NA,NA,NA,"Onychomys","torridus","Rodent","Control"
"163",1472,11,5,1978,2,"OT","F",20,23,"Onychomys","torridus","Rodent","Control"
"164",2054,9,23,1979,2,"OT","F",20,29,"Onychomys","torridus","Rodent","Control"
"165",4956,10,26,1981,2,"OT","M",22,22,"Onychomys","torridus","Rodent","Control"
"166",6928,10,24,1982,2,"OT","M",21,28,"Onychomys","torridus","Rodent","Control"
"167",8650,11,13,1983,2,"OT","M",19,24,"Onychomys","torridus","Rodent","Control"
"168",13484,9,27,1987,2,"OT","M",20,24,"Onychomys","torridus","Rodent","Control"
"169",15099,11,6,1988,2,"OT","M",21,23,"Onychomys","torridus","Rodent","Control"
"170",17545,5,24,1990,2,"OT","F",20,25,"Onychomys","torridus","Rodent","Control"
"171",18343,2,16,1991,2,"OT","M",21,27,"Onychomys","torridus","Rodent","Control"
"172",19017,9,9,1991,2,"OT","M",22,22,"Onychomys","torridus","Rodent","Control"
"173",19436,12,7,1991,2,"OT","M",20,23,"Onychomys","torridus","Rodent","Control"
"174",20205,7,30,1992,2,"OT","M",22,23,"Onychomys","torridus","Rodent","Control"
"175",22566,8,26,1995,2,"OT","F",23,19,"Onychomys","torridus","Rodent","Control"
"176",24705,11,16,1996,2,"OT","F",22,27,"Onychomys","torridus","Rodent","Control"
"177",25761,5,10,1997,2,"OT","M",21,27,"Onychomys","torridus","Rodent","Control"
"178",26613,7,29,1997,2,"OT","M",20,24,"Onychomys","torridus","Rodent","Control"
"179",27461,1,31,1998,2,"OT","M",21,22,"Onychomys","torridus","Rodent","Control"
"180",28666,10,24,1998,2,"OT","M",20,22,"Onychomys","torridus","Rodent","Control"
"181",30912,7,1,2000,2,"OT","M",20,23,"Onychomys","torridus","Rodent","Control"
"182",31630,12,22,2000,2,"OT","F",20,28,"Onychomys","torridus","Rodent","Control"
"183",32602,9,22,2001,2,"OT","M",20,23,"Onychomys","torridus","Rodent","Control"
"184",33227,12,15,2001,2,"OT","M",20,23,"Onychomys","torridus","Rodent","Control"
"185",33585,3,13,2002,2,"OT","F",20,23,"Onychomys","torridus","Rodent","Control"
"186",2458,2,25,1980,2,"DO","F",37,55,"Dipodomys","ordii","Rodent","Control"
"187",3797,1,12,1981,2,"DO","F",37,43,"Dipodomys","ordii","Rodent","Control"
"188",5475,2,24,1982,2,"DO","F",38,59,"Dipodomys","ordii","Rodent","Control"
"189",6867,10,24,1982,2,"DO","M",39,NA,"Dipodomys","ordii","Rodent","Control"
"190",7414,2,27,1983,2,"DO","M",36,38,"Dipodomys","ordii","Rodent","Control"
"191",9682,10,21,1984,2,"DO","F",34,43,"Dipodomys","ordii","Rodent","Control"
"192",10123,3,17,1985,2,"DO","M",33,46,"Dipodomys","ordii","Rodent","Control"
"193",10695,8,20,1985,2,"DO","F",35,33,"Dipodomys","ordii","Rodent","Control"
"194",12066,11,16,1986,2,"DO","M",35,44,"Dipodomys","ordii","Rodent","Control"
"195",12707,4,26,1987,2,"DO","F",35,53,"Dipodomys","ordii","Rodent","Control"
"196",13325,8,26,1987,2,"DO","F",37,39,"Dipodomys","ordii","Rodent","Control"
"197",14000,1,24,1988,2,"DO","F",35,43,"Dipodomys","ordii","Rodent","Control"
"198",14513,5,15,1988,2,"DO","M",36,51,"Dipodomys","ordii","Rodent","Control"
"199",14906,9,12,1988,2,"DO","M",37,55,"Dipodomys","ordii","Rodent","Control"
"200",15482,1,11,1989,2,"DO","M",37,57,"Dipodomys","ordii","Rodent","Control"
"201",16023,5,10,1989,2,"DO","M",37,56,"Dipodomys","ordii","Rodent","Control"
"202",16468,9,4,1989,2,"DO","F",36,45,"Dipodomys","ordii","Rodent","Control"
"203",16960,1,7,1990,2,"DO","M",38,61,"Dipodomys","ordii","Rodent","Control"
"204",17334,3,30,1990,2,"DO","M",36,54,"Dipodomys","ordii","Rodent","Control"
"205",17700,7,22,1990,2,"DO","F",38,54,"Dipodomys","ordii","Rodent","Control"
"206",17981,11,10,1990,2,"DO","F",36,42,"Dipodomys","ordii","Rodent","Control"
"207",18218,1,11,1991,2,"DO","M",36,52,"Dipodomys","ordii","Rodent","Control"
"208",18619,4,21,1991,2,"DO","F",36,55,"Dipodomys","ordii","Rodent","Control"
"209",19013,9,9,1991,2,"DO","F",37,48,"Dipodomys","ordii","Rodent","Control"
"210",19446,12,7,1991,2,"DO","F",35,54,"Dipodomys","ordii","Rodent","Control"
"211",19759,3,7,1992,2,"DO","F",36,46,"Dipodomys","ordii","Rodent","Control"
"212",20033,5,30,1992,2,"DO","F",36,62,"Dipodomys","ordii","Rodent","Control"
"213",20257,8,29,1992,2,"DO","M",33,43,"Dipodomys","ordii","Rodent","Control"
"214",20909,6,18,1993,2,"DO","F",36,NA,"Dipodomys","ordii","Rodent","Control"
"215",21833,10,12,1994,2,"DO","M",36,52,"Dipodomys","ordii","Rodent","Control"
"216",22008,1,11,1995,2,"DO","M",38,52,"Dipodomys","ordii","Rodent","Control"
"217",23223,1,27,1996,2,"DO","M",37,66,"Dipodomys","ordii","Rodent","Control"
"218",25285,3,15,1997,2,"DO","F",37,53,"Dipodomys","ordii","Rodent","Control"
"219",26561,7,29,1997,2,"DO","F",36,47,"Dipodomys","ordii","Rodent","Control"
"220",27321,12,28,1997,2,"DO","M",37,50,"Dipodomys","ordii","Rodent","Control"
"221",28802,11,21,1998,2,"DO","M",32,42,"Dipodomys","ordii","Rodent","Control"
"222",29438,4,17,1999,2,"DO","F",34,47,"Dipodomys","ordii","Rodent","Control"
"223",30612,4,30,2000,2,"DO","F",34,42,"Dipodomys","ordii","Rodent","Control"
"224",33407,2,9,2002,2,"DO","M",35,52,"Dipodomys","ordii","Rodent","Control"
"225",242,9,13,1977,2,"OX","M",19,22,"Onychomys","sp.","Rodent","Control"
"226",16530,10,7,1989,2,"SS",NA,NA,NA,"Spermophilus","spilosoma","Rodent","Control"
"227",1597,1,29,1979,2,"OL","F",NA,39,"Onychomys","leucogaster","Rodent","Control"
"228",2531,2,25,1980,2,"OL","F",23,41,"Onychomys","leucogaster","Rodent","Control"
"229",3893,2,1,1981,2,"OL","F",20,34,"Onychomys","leucogaster","Rodent","Control"
"230",9990,2,17,1985,2,"OL","F",19,26,"Onychomys","leucogaster","Rodent","Control"
"231",12420,3,2,1987,2,"OL","M",22,33,"Onychomys","leucogaster","Rodent","Control"
"232",13962,1,24,1988,2,"OL","M",21,34,"Onychomys","leucogaster","Rodent","Control"
"233",15897,4,1,1989,2,"OL","M",20,36,"Onychomys","leucogaster","Rodent","Control"
"234",20444,10,18,1992,2,"OL","F",19,31,"Onychomys","leucogaster","Rodent","Control"
"235",5477,2,24,1982,2,"RM","F",17,8,"Reithrodontomys","megalotis","Rodent","Control"
"236",13799,11,22,1987,2,"RM","F",17,10,"Reithrodontomys","megalotis","Rodent","Control"
"237",15631,2,5,1989,2,"RM","F",17,12,"Reithrodontomys","megalotis","Rodent","Control"
"238",18216,1,11,1991,2,"RM","M",17,10,"Reithrodontomys","megalotis","Rodent","Control"
"239",19579,1,8,1992,2,"RM","F",14,8,"Reithrodontomys","megalotis","Rodent","Control"
"240",20602,1,24,1993,2,"RM","F",NA,11,"Reithrodontomys","megalotis","Rodent","Control"
"241",23592,3,23,1996,2,"RM","M",17,11,"Reithrodontomys","megalotis","Rodent","Control"
"242",25833,5,10,1997,2,"RM","F",NA,12,"Reithrodontomys","megalotis","Rodent","Control"
"243",30435,3,4,2000,2,"RM","F",17,13,"Reithrodontomys","megalotis","Rodent","Control"
"244",1670,2,25,1979,2,"PM","M",21,26,"Peromyscus","maniculatus","Rodent","Control"
"245",12454,3,2,1987,2,"PM","M",25,27,"Peromyscus","maniculatus","Rodent","Control"
"246",23146,12,21,1995,2,"PM","M",21,23,"Peromyscus","maniculatus","Rodent","Control"
"247",25751,5,10,1997,2,"PM","F",21,26,"Peromyscus","maniculatus","Rodent","Control"
"248",29306,3,14,1999,2,"PM","M",21,22,"Peromyscus","maniculatus","Rodent","Control"
"249",14592,6,12,1988,2,"AH",NA,NA,NA,"Ammospermophilus","harrisi","Rodent","Control"
"250",5488,2,24,1982,2,"AB",NA,NA,NA,"Amphispiza","bilineata","Bird","Control"
"251",13321,8,26,1987,2,"AB",NA,NA,NA,"Amphispiza","bilineata","Bird","Control"
"252",13828,11,22,1987,2,"UP",NA,NA,NA,"Pipilo","sp.","Bird","Control"
"253",21053,8,19,1993,2,"SO","M",28,NA,"Sigmodon","ochrognathus","Rodent","Control"
"254",24440,9,21,1996,2,"PB","F",25,24,"Chaetodipus","baileyi","Rodent","Control"
"255",24845,12,18,1996,2,"PB","F",24,26,"Chaetodipus","baileyi","Rodent","Control"
"256",25265,3,15,1997,2,"PB","M",25,40,"Chaetodipus","baileyi","Rodent","Control"
"257",26351,7,9,1997,2,"PB","M",27,37,"Chaetodipus","baileyi","Rodent","Control"
"258",26995,10,25,1997,2,"PB","F",26,29,"Chaetodipus","baileyi","Rodent","Control"
"259",27347,12,28,1997,2,"PB","F",26,28,"Chaetodipus","baileyi","Rodent","Control"
"260",28560,9,20,1998,2,"PB","F",26,35,"Chaetodipus","baileyi","Rodent","Control"
"261",29864,10,9,1999,2,"PB","F",26,22,"Chaetodipus","baileyi","Rodent","Control"
"262",30299,2,5,2000,2,"PB","F",25,29,"Chaetodipus","baileyi","Rodent","Control"
"263",30607,4,30,2000,2,"PB","M",26,45,"Chaetodipus","baileyi","Rodent","Control"
"264",30737,6,3,2000,2,"PB","F",26,40,"Chaetodipus","baileyi","Rodent","Control"
"265",30920,7,1,2000,2,"PB","F",25,19,"Chaetodipus","baileyi","Rodent","Control"
"266",31212,8,25,2000,2,"PB","M",26,32,"Chaetodipus","baileyi","Rodent","Control"
"267",31514,11,25,2000,2,"PB","M",27,33,"Chaetodipus","baileyi","Rodent","Control"
"268",32166,6,25,2001,2,"PB","M",27,36,"Chaetodipus","baileyi","Rodent","Control"
"269",33038,11,17,2001,2,"PB","F",26,35,"Chaetodipus","baileyi","Rodent","Control"
"270",33409,2,9,2002,2,"PB","M",27,49,"Chaetodipus","baileyi","Rodent","Control"
"271",33962,5,15,2002,2,"PB","F",26,19,"Chaetodipus","baileyi","Rodent","Control"
"272",34776,10,5,2002,2,"PB","F",26,27,"Chaetodipus","baileyi","Rodent","Control"
"273",35203,12,7,2002,2,"PB","F",27,27,"Chaetodipus","baileyi","Rodent","Control"
"274",35398,12,29,2002,2,"PB","F",26,27,"Chaetodipus","baileyi","Rodent","Control"
"275",344,10,18,1977,3,"NL",NA,NA,NA,"Neotoma","albigula","Rodent","Long-term Krat Exclosure"
"276",1361,10,8,1978,3,"NL",NA,NA,NA,"Neotoma","albigula","Rodent","Long-term Krat Exclosure"
"277",5612,3,30,1982,3,"NL","F",31,103,"Neotoma","albigula","Rodent","Long-term Krat Exclosure"
"278",8857,2,5,1984,3,"NL","F",34,164,"Neotoma","albigula","Rodent","Long-term Krat Exclosure"
"279",10085,3,17,1985,3,"NL","F",31,153,"Neotoma","albigula","Rodent","Long-term Krat Exclosure"
"280",11395,4,13,1986,3,"NL","F",30,176,"Neotoma","albigula","Rodent","Long-term Krat Exclosure"
"281",12550,4,6,1987,3,"NL","F",32,199,"Neotoma","albigula","Rodent","Long-term Krat Exclosure"
"282",13734,11,22,1987,3,"NL","F",34,161,"Neotoma","albigula","Rodent","Long-term Krat Exclosure"
"283",15845,4,1,1989,3,"NL","M",33,196,"Neotoma","albigula","Rodent","Long-term Krat Exclosure"
"284",19500,12,8,1991,3,"NL","F",35,166,"Neotoma","albigula","Rodent","Long-term Krat Exclosure"
"285",20806,4,24,1993,3,"NL","F",30,90,"Neotoma","albigula","Rodent","Long-term Krat Exclosure"
"286",21299,12,15,1993,3,"NL","M",32,161,"Neotoma","albigula","Rodent","Long-term Krat Exclosure"
"287",5,7,16,1977,3,"DM","M",35,NA,"Dipodomys","merriami","Rodent","Long-term Krat Exclosure"
"288",2462,2,25,1980,3,"DM","M",35,48,"Dipodomys","merriami","Rodent","Long-term Krat Exclosure"
"289",6667,10,23,1982,3,"DM","M",37,43,"Dipodomys","merriami","Rodent","Long-term Krat Exclosure"
"290",7624,3,15,1983,3,"DM","F",35,48,"Dipodomys","merriami","Rodent","Long-term Krat Exclosure"
"291",9601,9,30,1984,3,"DM","M",36,35,"Dipodomys","merriami","Rodent","Long-term Krat Exclosure"
"292",10578,7,24,1985,3,"DM","M",35,24,"Dipodomys","merriami","Rodent","Long-term Krat Exclosure"
"293",13771,11,22,1987,3,"DM","F",35,41,"Dipodomys","merriami","Rodent","Long-term Krat Exclosure"
